Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 18,874,368
  lm_head                 : 6,291,456
  transformer_matrices    : 56,623,680
  scalars                 : 12
  total                   : 88,080,972
Estimated FLOPs per token: 4.529883e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011235 | lrm: 1.00 | dt: 15237ms | tok/sec: 17,204 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.714343 | lrm: 1.00 | dt: 249ms | tok/sec: 1,052,836 | mfu: 48.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.130410 | lrm: 1.00 | dt: 252ms | tok/sec: 1,039,277 | mfu: 47.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.693386 | lrm: 1.00 | dt: 255ms | tok/sec: 1,028,879 | mfu: 47.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.388203 | lrm: 1.00 | dt: 273ms | tok/sec: 959,211 | mfu: 43.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.142516 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,210 | mfu: 46.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.941805 | lrm: 1.00 | dt: 317ms | tok/sec: 827,504 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.775773 | lrm: 1.00 | dt: 285ms | tok/sec: 921,031 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.631491 | lrm: 1.00 | dt: 259ms | tok/sec: 1,010,731 | mfu: 46.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.509102 | lrm: 1.00 | dt: 258ms | tok/sec: 1,017,022 | mfu: 46.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.408874 | lrm: 1.00 | dt: 276ms | tok/sec: 950,540 | mfu: 43.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.316942 | lrm: 1.00 | dt: 263ms | tok/sec: 996,360 | mfu: 45.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.231998 | lrm: 1.00 | dt: 258ms | tok/sec: 1,017,373 | mfu: 46.6% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.160835 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,945 | mfu: 46.2% | epoch: 1 | remaining: 299s    
step 00154 (12.5%) | loss: 3.617775 | lrm: 1.00 | dt: 264ms | tok/sec: 993,641 | mfu: 45.5% | epoch: 1 | remaining: 262s    
step 00155 (12.6%) | loss: 3.617787 | lrm: 1.00 | dt: 263ms | tok/sec: 997,071 | mfu: 45.6% | epoch: 1 | remaining: 262s    
step 00156 (12.7%) | loss: 3.617625 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,496 | mfu: 46.1% | epoch: 1 | remaining: 262s    
step 00157 (12.8%) | loss: 3.608886 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,814 | mfu: 46.0% | epoch: 1 | remaining: 261s    
step 00158 (12.8%) | loss: 3.602399 | lrm: 1.00 | dt: 264ms | tok/sec: 994,494 | mfu: 45.5% | epoch: 1 | remaining: 261s    
step 00159 (12.9%) | loss: 3.597997 | lrm: 1.00 | dt: 263ms | tok/sec: 996,746 | mfu: 45.6% | epoch: 1 | remaining: 261s    
step 00160 (13.0%) | loss: 3.593359 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,068 | mfu: 45.8% | epoch: 1 | remaining: 261s    
step 00161 (13.1%) | loss: 3.587943 | lrm: 1.00 | dt: 263ms | tok/sec: 997,066 | mfu: 45.6% | epoch: 1 | remaining: 260s    
step 00162 (13.2%) | loss: 3.584214 | lrm: 1.00 | dt: 263ms | tok/sec: 996,340 | mfu: 45.6% | epoch: 1 | remaining: 260s    
step 00163 (13.3%) | loss: 3.578938 | lrm: 1.00 | dt: 263ms | tok/sec: 996,490 | mfu: 45.6% | epoch: 1 | remaining: 260s    
step 00164 (13.4%) | loss: 3.577276 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,010 | mfu: 46.1% | epoch: 1 | remaining: 260s    
step 00165 (13.5%) | loss: 3.572587 | lrm: 1.00 | dt: 263ms | tok/sec: 996,964 | mfu: 45.6% | epoch: 1 | remaining: 259s    
step 00166 (13.5%) | loss: 3.571954 | lrm: 1.00 | dt: 263ms | tok/sec: 997,237 | mfu: 45.7% | epoch: 1 | remaining: 259s    
step 00167 (13.6%) | loss: 3.567095 | lrm: 1.00 | dt: 263ms | tok/sec: 998,108 | mfu: 45.7% | epoch: 1 | remaining: 259s    
step 00168 (13.7%) | loss: 3.561135 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,164 | mfu: 45.8% | epoch: 1 | remaining: 259s    
step 00169 (13.8%) | loss: 3.557510 | lrm: 1.00 | dt: 263ms | tok/sec: 996,123 | mfu: 45.6% | epoch: 1 | remaining: 258s    
step 00170 (13.9%) | loss: 3.553115 | lrm: 1.00 | dt: 264ms | tok/sec: 993,886 | mfu: 45.5% | epoch: 1 | remaining: 258s    
step 00171 (14.0%) | loss: 3.555072 | lrm: 1.00 | dt: 264ms | tok/sec: 993,725 | mfu: 45.5% | epoch: 1 | remaining: 258s    
step 00172 (14.1%) | loss: 3.553480 | lrm: 1.00 | dt: 260ms | tok/sec: 1,006,902 | mfu: 46.1% | epoch: 1 | remaining: 258s    
step 00173 (14.2%) | loss: 3.551563 | lrm: 1.00 | dt: 267ms | tok/sec: 982,177 | mfu: 45.0% | epoch: 1 | remaining: 257s    
step 00174 (14.2%) | loss: 3.548190 | lrm: 1.00 | dt: 265ms | tok/sec: 990,017 | mfu: 45.3% | epoch: 1 | remaining: 257s    
step 00175 (14.3%) | loss: 3.544784 | lrm: 1.00 | dt: 261ms | tok/sec: 1,002,975 | mfu: 45.9% | epoch: 1 | remaining: 257s    
step 00176 (14.4%) | loss: 3.544551 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,661 | mfu: 45.8% | epoch: 1 | remaining: 256s    
step 00177 (14.5%) | loss: 3.537793 | lrm: 1.00 | dt: 269ms | tok/sec: 973,415 | mfu: 44.6% | epoch: 1 | remaining: 256s    
step 00178 (14.6%) | loss: 3.537328 | lrm: 1.00 | dt: 264ms | tok/sec: 993,851 | mfu: 45.5% | epoch: 1 | remaining: 256s    
step 00179 (14.7%) | loss: 3.529628 | lrm: 1.00 | dt: 264ms | tok/sec: 994,459 | mfu: 45.5% | epoch: 1 | remaining: 256s    
step 00180 (14.8%) | loss: 3.524516 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,463 | mfu: 45.8% | epoch: 1 | remaining: 255s    
step 00181 (14.9%) | loss: 3.522876 | lrm: 1.00 | dt: 267ms | tok/sec: 983,636 | mfu: 45.0% | epoch: 1 | remaining: 255s    
step 00182 (14.9%) | loss: 3.521155 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,710 | mfu: 45.9% | epoch: 1 | remaining: 255s    
step 00183 (15.0%) | loss: 3.517066 | lrm: 1.00 | dt: 260ms | tok/sec: 1,006,526 | mfu: 46.1% | epoch: 1 | remaining: 255s    
step 00184 (15.1%) | loss: 3.513085 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,572 | mfu: 45.8% | epoch: 1 | remaining: 254s    
step 00185 (15.2%) | loss: 3.508638 | lrm: 1.00 | dt: 266ms | tok/sec: 985,844 | mfu: 45.1% | epoch: 1 | remaining: 254s    
step 00186 (15.3%) | loss: 3.508607 | lrm: 1.00 | dt: 264ms | tok/sec: 994,609 | mfu: 45.5% | epoch: 1 | remaining: 254s    
step 00187 (15.4%) | loss: 3.508047 | lrm: 1.00 | dt: 259ms | tok/sec: 1,013,025 | mfu: 46.4% | epoch: 1 | remaining: 254s    
step 00188 (15.5%) | loss: 3.504894 | lrm: 1.00 | dt: 265ms | tok/sec: 990,256 | mfu: 45.3% | epoch: 1 | remaining: 253s    
step 00189 (15.6%) | loss: 3.504109 | lrm: 1.00 | dt: 264ms | tok/sec: 992,616 | mfu: 45.4% | epoch: 1 | remaining: 253s    
step 00190 (15.6%) | loss: 3.504703 | lrm: 1.00 | dt: 263ms | tok/sec: 997,600 | mfu: 45.7% | epoch: 1 | remaining: 253s    
step 00191 (15.7%) | loss: 3.504745 | lrm: 1.00 | dt: 262ms | tok/sec: 1,002,120 | mfu: 45.9% | epoch: 1 | remaining: 253s    
step 00192 (15.8%) | loss: 3.504567 | lrm: 1.00 | dt: 264ms | tok/sec: 992,656 | mfu: 45.4% | epoch: 1 | remaining: 252s    
step 00193 (15.9%) | loss: 3.505933 | lrm: 1.00 | dt: 264ms | tok/sec: 993,634 | mfu: 45.5% | epoch: 1 | remaining: 252s    
step 00194 (16.0%) | loss: 3.499488 | lrm: 1.00 | dt: 264ms | tok/sec: 994,280 | mfu: 45.5% | epoch: 1 | remaining: 252s    
step 00195 (16.1%) | loss: 3.494081 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,080 | mfu: 45.8% | epoch: 1 | remaining: 251s    
step 00196 (16.2%) | loss: 3.491449 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,850 | mfu: 45.8% | epoch: 1 | remaining: 251s    
step 00197 (16.3%) | loss: 3.492110 | lrm: 1.00 | dt: 263ms | tok/sec: 994,868 | mfu: 45.5% | epoch: 1 | remaining: 251s    
step 00198 (16.3%) | loss: 3.487596 | lrm: 1.00 | dt: 262ms | tok/sec: 999,725 | mfu: 45.8% | epoch: 1 | remaining: 251s    
step 00199 (16.4%) | loss: 3.484824 | lrm: 1.00 | dt: 263ms | tok/sec: 996,672 | mfu: 45.6% | epoch: 1 | remaining: 250s    
step 00200 (16.5%) | loss: 3.482225 | lrm: 1.00 | dt: 262ms | tok/sec: 999,865 | mfu: 45.8% | epoch: 1 | remaining: 250s    
step 00201 (16.6%) | loss: 3.480486 | lrm: 1.00 | dt: 262ms | tok/sec: 999,117 | mfu: 45.7% | epoch: 1 | remaining: 250s    
step 00202 (16.7%) | loss: 3.477698 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,023 | mfu: 45.8% | epoch: 1 | remaining: 250s    
step 00203 (16.8%) | loss: 3.470626 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,720 | mfu: 46.1% | epoch: 1 | remaining: 249s    
step 00204 (16.9%) | loss: 3.464801 | lrm: 1.00 | dt: 266ms | tok/sec: 985,744 | mfu: 45.1% | epoch: 1 | remaining: 249s    
step 00205 (17.0%) | loss: 3.461834 | lrm: 1.00 | dt: 263ms | tok/sec: 995,956 | mfu: 45.6% | epoch: 1 | remaining: 249s    
step 00206 (17.0%) | loss: 3.456964 | lrm: 1.00 | dt: 263ms | tok/sec: 996,644 | mfu: 45.6% | epoch: 1 | remaining: 249s    
step 00207 (17.1%) | loss: 3.455873 | lrm: 1.00 | dt: 263ms | tok/sec: 997,852 | mfu: 45.7% | epoch: 1 | remaining: 248s    
step 00208 (17.2%) | loss: 3.444238 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,177 | mfu: 45.8% | epoch: 1 | remaining: 248s    
step 00209 (17.3%) | loss: 3.435934 | lrm: 1.00 | dt: 265ms | tok/sec: 990,770 | mfu: 45.4% | epoch: 1 | remaining: 248s    
step 00210 (17.4%) | loss: 3.432316 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,650 | mfu: 46.0% | epoch: 1 | remaining: 248s    
step 00211 (17.5%) | loss: 3.433412 | lrm: 1.00 | dt: 264ms | tok/sec: 992,912 | mfu: 45.5% | epoch: 1 | remaining: 247s    
step 00212 (17.6%) | loss: 3.429714 | lrm: 1.00 | dt: 264ms | tok/sec: 994,824 | mfu: 45.5% | epoch: 1 | remaining: 247s    
step 00213 (17.7%) | loss: 3.431605 | lrm: 1.00 | dt: 264ms | tok/sec: 993,843 | mfu: 45.5% | epoch: 1 | remaining: 247s    
step 00214 (17.7%) | loss: 3.429299 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,452 | mfu: 45.8% | epoch: 1 | remaining: 246s    
step 00215 (17.8%) | loss: 3.425730 | lrm: 1.00 | dt: 263ms | tok/sec: 997,123 | mfu: 45.6% | epoch: 1 | remaining: 246s    
step 00216 (17.9%) | loss: 3.426022 | lrm: 1.00 | dt: 263ms | tok/sec: 998,312 | mfu: 45.7% | epoch: 1 | remaining: 246s    
step 00217 (18.0%) | loss: 3.427049 | lrm: 1.00 | dt: 264ms | tok/sec: 993,202 | mfu: 45.5% | epoch: 1 | remaining: 246s    
step 00218 (18.1%) | loss: 3.427646 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,641 | mfu: 45.8% | epoch: 1 | remaining: 245s    
step 00219 (18.2%) | loss: 3.422027 | lrm: 1.00 | dt: 265ms | tok/sec: 989,110 | mfu: 45.3% | epoch: 1 | remaining: 245s    
step 00220 (18.3%) | loss: 3.421955 | lrm: 1.00 | dt: 264ms | tok/sec: 991,252 | mfu: 45.4% | epoch: 1 | remaining: 245s    
step 00221 (18.4%) | loss: 3.421456 | lrm: 1.00 | dt: 263ms | tok/sec: 996,101 | mfu: 45.6% | epoch: 1 | remaining: 245s    
step 00222 (18.5%) | loss: 3.418256 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,458 | mfu: 46.0% | epoch: 1 | remaining: 244s    
step 00223 (18.5%) | loss: 3.419775 | lrm: 1.00 | dt: 265ms | tok/sec: 990,059 | mfu: 45.3% | epoch: 1 | remaining: 244s    
step 00224 (18.6%) | loss: 3.423146 | lrm: 1.00 | dt: 264ms | tok/sec: 991,805 | mfu: 45.4% | epoch: 1 | remaining: 244s    
step 00225 (18.7%) | loss: 3.422787 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,245 | mfu: 45.9% | epoch: 1 | remaining: 244s    
step 00226 (18.8%) | loss: 3.422666 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,454 | mfu: 46.2% | epoch: 1 | remaining: 243s    
step 00227 (18.9%) | loss: 3.418338 | lrm: 1.00 | dt: 266ms | tok/sec: 987,212 | mfu: 45.2% | epoch: 1 | remaining: 243s    
step 00228 (19.0%) | loss: 3.420402 | lrm: 1.00 | dt: 262ms | tok/sec: 998,796 | mfu: 45.7% | epoch: 1 | remaining: 243s    
step 00229 (19.1%) | loss: 3.414824 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,989 | mfu: 46.1% | epoch: 1 | remaining: 243s    
step 00230 (19.2%) | loss: 3.420385 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,685 | mfu: 45.8% | epoch: 1 | remaining: 242s    
step 00231 (19.2%) | loss: 3.421604 | lrm: 1.00 | dt: 266ms | tok/sec: 985,821 | mfu: 45.1% | epoch: 1 | remaining: 242s    
step 00232 (19.3%) | loss: 3.420479 | lrm: 1.00 | dt: 265ms | tok/sec: 987,717 | mfu: 45.2% | epoch: 1 | remaining: 242s    
step 00233 (19.4%) | loss: 3.417355 | lrm: 1.00 | dt: 261ms | tok/sec: 1,002,541 | mfu: 45.9% | epoch: 1 | remaining: 241s    
step 00234 (19.5%) | loss: 3.412481 | lrm: 1.00 | dt: 269ms | tok/sec: 974,744 | mfu: 44.6% | epoch: 1 | remaining: 241s    
step 00235 (19.6%) | loss: 3.413779 | lrm: 1.00 | dt: 264ms | tok/sec: 994,453 | mfu: 45.5% | epoch: 1 | remaining: 241s    
step 00236 (19.7%) | loss: 3.416290 | lrm: 1.00 | dt: 269ms | tok/sec: 975,457 | mfu: 44.7% | epoch: 1 | remaining: 241s    
step 00237 (19.8%) | loss: 3.416134 | lrm: 1.00 | dt: 259ms | tok/sec: 1,012,358 | mfu: 46.3% | epoch: 1 | remaining: 240s    
step 00238 (19.9%) | loss: 3.410607 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,711 | mfu: 45.9% | epoch: 1 | remaining: 240s    
step 00239 (19.9%) | loss: 3.407305 | lrm: 1.00 | dt: 266ms | tok/sec: 983,712 | mfu: 45.0% | epoch: 1 | remaining: 240s    
step 00240 (20.0%) | loss: 3.406991 | lrm: 1.00 | dt: 263ms | tok/sec: 997,087 | mfu: 45.6% | epoch: 1 | remaining: 240s    
step 00241 (20.1%) | loss: 3.406732 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,531 | mfu: 46.2% | epoch: 1 | remaining: 239s    
step 00242 (20.2%) | loss: 3.408102 | lrm: 1.00 | dt: 265ms | tok/sec: 989,165 | mfu: 45.3% | epoch: 1 | remaining: 239s    
step 00243 (20.3%) | loss: 3.403064 | lrm: 1.00 | dt: 265ms | tok/sec: 990,611 | mfu: 45.3% | epoch: 1 | remaining: 239s    
step 00244 (20.4%) | loss: 3.393140 | lrm: 1.00 | dt: 260ms | tok/sec: 1,010,147 | mfu: 46.2% | epoch: 1 | remaining: 239s    
step 00245 (20.5%) | loss: 3.385913 | lrm: 1.00 | dt: 260ms | tok/sec: 1,006,946 | mfu: 46.1% | epoch: 1 | remaining: 238s    
step 00246 (20.6%) | loss: 3.383359 | lrm: 1.00 | dt: 265ms | tok/sec: 989,801 | mfu: 45.3% | epoch: 1 | remaining: 238s    
step 00247 (20.6%) | loss: 3.383123 | lrm: 1.00 | dt: 264ms | tok/sec: 991,829 | mfu: 45.4% | epoch: 1 | remaining: 238s    
step 00248 (20.7%) | loss: 3.382235 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,402 | mfu: 46.1% | epoch: 1 | remaining: 238s    
step 00249 (20.8%) | loss: 3.384652 | lrm: 1.00 | dt: 262ms | tok/sec: 999,399 | mfu: 45.8% | epoch: 1 | remaining: 237s    
step 00250 (20.9%) | loss: 3.384714 | lrm: 1.00 | dt: 265ms | tok/sec: 990,335 | mfu: 45.3% | epoch: 1 | remaining: 237s    
step 00251 (21.0%) | loss: 3.384519 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,242 | mfu: 45.8% | epoch: 1 | remaining: 237s    
step 00252 (21.1%) | loss: 3.379252 | lrm: 1.00 | dt: 259ms | tok/sec: 1,013,351 | mfu: 46.4% | epoch: 1 | remaining: 236s    
step 00253 (21.2%) | loss: 3.377691 | lrm: 1.00 | dt: 267ms | tok/sec: 983,598 | mfu: 45.0% | epoch: 1 | remaining: 236s    
step 00254 (21.3%) | loss: 3.373705 | lrm: 1.00 | dt: 264ms | tok/sec: 993,660 | mfu: 45.5% | epoch: 1 | remaining: 236s    
step 00255 (21.3%) | loss: 3.376577 | lrm: 1.00 | dt: 264ms | tok/sec: 993,153 | mfu: 45.5% | epoch: 1 | remaining: 236s    
step 00256 (21.4%) | loss: 3.370991 | lrm: 1.00 | dt: 261ms | tok/sec: 1,006,309 | mfu: 46.1% | epoch: 1 | remaining: 235s    
step 00257 (21.5%) | loss: 3.369229 | lrm: 1.00 | dt: 264ms | tok/sec: 993,401 | mfu: 45.5% | epoch: 1 | remaining: 235s    
step 00258 (21.6%) | loss: 3.370578 | lrm: 1.00 | dt: 263ms | tok/sec: 997,178 | mfu: 45.7% | epoch: 1 | remaining: 235s    
step 00259 (21.7%) | loss: 3.366470 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,163 | mfu: 46.0% | epoch: 1 | remaining: 235s    
step 00260 (21.8%) | loss: 3.363578 | lrm: 1.00 | dt: 265ms | tok/sec: 990,906 | mfu: 45.4% | epoch: 1 | remaining: 234s    
step 00261 (21.9%) | loss: 3.362600 | lrm: 1.00 | dt: 263ms | tok/sec: 996,957 | mfu: 45.6% | epoch: 1 | remaining: 234s    
step 00262 (22.0%) | loss: 3.363506 | lrm: 1.00 | dt: 264ms | tok/sec: 994,853 | mfu: 45.5% | epoch: 1 | remaining: 234s    
step 00263 (22.0%) | loss: 3.362082 | lrm: 1.00 | dt: 265ms | tok/sec: 990,976 | mfu: 45.4% | epoch: 1 | remaining: 234s    
step 00264 (22.1%) | loss: 3.359840 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,066 | mfu: 46.0% | epoch: 1 | remaining: 233s    
step 00265 (22.2%) | loss: 3.358783 | lrm: 1.00 | dt: 263ms | tok/sec: 996,325 | mfu: 45.6% | epoch: 1 | remaining: 233s    
step 00266 (22.3%) | loss: 3.356285 | lrm: 1.00 | dt: 263ms | tok/sec: 997,118 | mfu: 45.6% | epoch: 1 | remaining: 233s    
step 00267 (22.4%) | loss: 3.354305 | lrm: 1.00 | dt: 262ms | tok/sec: 999,121 | mfu: 45.7% | epoch: 1 | remaining: 233s    
step 00268 (22.5%) | loss: 3.356974 | lrm: 1.00 | dt: 262ms | tok/sec: 1,002,170 | mfu: 45.9% | epoch: 1 | remaining: 232s    
step 00269 (22.6%) | loss: 3.354826 | lrm: 1.00 | dt: 265ms | tok/sec: 989,217 | mfu: 45.3% | epoch: 1 | remaining: 232s    
step 00270 (22.7%) | loss: 3.348406 | lrm: 1.00 | dt: 264ms | tok/sec: 994,500 | mfu: 45.5% | epoch: 1 | remaining: 232s    
step 00271 (22.7%) | loss: 3.349531 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,266 | mfu: 46.0% | epoch: 1 | remaining: 231s    
step 00272 (22.8%) | loss: 3.345896 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,043 | mfu: 45.9% | epoch: 1 | remaining: 231s    
step 00273 (22.9%) | loss: 3.343358 | lrm: 1.00 | dt: 265ms | tok/sec: 991,073 | mfu: 45.4% | epoch: 1 | remaining: 231s    
step 00274 (23.0%) | loss: 3.338053 | lrm: 1.00 | dt: 263ms | tok/sec: 997,592 | mfu: 45.7% | epoch: 1 | remaining: 231s    
step 00275 (23.1%) | loss: 3.338910 | lrm: 1.00 | dt: 264ms | tok/sec: 991,699 | mfu: 45.4% | epoch: 1 | remaining: 230s    
step 00276 (23.2%) | loss: 3.337364 | lrm: 1.00 | dt: 263ms | tok/sec: 996,716 | mfu: 45.6% | epoch: 1 | remaining: 230s    
step 00277 (23.3%) | loss: 3.332392 | lrm: 1.00 | dt: 268ms | tok/sec: 977,622 | mfu: 44.8% | epoch: 1 | remaining: 230s    
step 00278 (23.4%) | loss: 3.336433 | lrm: 1.00 | dt: 264ms | tok/sec: 993,605 | mfu: 45.5% | epoch: 1 | remaining: 230s    
step 00279 (23.5%) | loss: 3.330917 | lrm: 1.00 | dt: 264ms | tok/sec: 994,662 | mfu: 45.5% | epoch: 1 | remaining: 229s    
step 00280 (23.5%) | loss: 3.324570 | lrm: 1.00 | dt: 265ms | tok/sec: 989,854 | mfu: 45.3% | epoch: 1 | remaining: 229s    
step 00281 (23.6%) | loss: 3.323389 | lrm: 1.00 | dt: 264ms | tok/sec: 994,084 | mfu: 45.5% | epoch: 1 | remaining: 229s    
step 00282 (23.7%) | loss: 3.319187 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,490 | mfu: 45.8% | epoch: 1 | remaining: 229s    
step 00283 (23.8%) | loss: 3.318396 | lrm: 1.00 | dt: 261ms | tok/sec: 1,002,518 | mfu: 45.9% | epoch: 1 | remaining: 228s    
step 00284 (23.9%) | loss: 3.318682 | lrm: 1.00 | dt: 264ms | tok/sec: 993,452 | mfu: 45.5% | epoch: 1 | remaining: 228s    
step 00285 (24.0%) | loss: 3.319895 | lrm: 1.00 | dt: 264ms | tok/sec: 991,435 | mfu: 45.4% | epoch: 1 | remaining: 228s    
step 00286 (24.1%) | loss: 3.319815 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,369 | mfu: 45.8% | epoch: 1 | remaining: 228s    
step 00287 (24.2%) | loss: 3.320958 | lrm: 1.00 | dt: 263ms | tok/sec: 998,536 | mfu: 45.7% | epoch: 1 | remaining: 227s    
step 00288 (24.2%) | loss: 3.317892 | lrm: 1.00 | dt: 262ms | tok/sec: 998,818 | mfu: 45.7% | epoch: 1 | remaining: 227s    
step 00289 (24.3%) | loss: 3.315901 | lrm: 1.00 | dt: 264ms | tok/sec: 994,208 | mfu: 45.5% | epoch: 1 | remaining: 227s    
step 00290 (24.4%) | loss: 3.322382 | lrm: 1.00 | dt: 263ms | tok/sec: 997,101 | mfu: 45.6% | epoch: 1 | remaining: 226s    
step 00291 (24.5%) | loss: 3.322173 | lrm: 1.00 | dt: 264ms | tok/sec: 992,715 | mfu: 45.4% | epoch: 1 | remaining: 226s    
step 00292 (24.6%) | loss: 3.319906 | lrm: 1.00 | dt: 265ms | tok/sec: 990,973 | mfu: 45.4% | epoch: 1 | remaining: 226s    
step 00293 (24.7%) | loss: 3.320510 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,100 | mfu: 45.8% | epoch: 1 | remaining: 226s    
step 00294 (24.8%) | loss: 3.318795 | lrm: 1.00 | dt: 263ms | tok/sec: 997,954 | mfu: 45.7% | epoch: 1 | remaining: 225s    
step 00295 (24.9%) | loss: 3.321544 | lrm: 1.00 | dt: 265ms | tok/sec: 990,488 | mfu: 45.3% | epoch: 1 | remaining: 225s    
step 00296 (24.9%) | loss: 3.323327 | lrm: 1.00 | dt: 263ms | tok/sec: 998,316 | mfu: 45.7% | epoch: 1 | remaining: 225s    
step 00297 (25.0%) | loss: 3.326585 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,108 | mfu: 45.8% | epoch: 1 | remaining: 225s    
step 00298 (25.1%) | loss: 3.322411 | lrm: 1.00 | dt: 262ms | tok/sec: 999,197 | mfu: 45.7% | epoch: 1 | remaining: 224s    
step 00299 (25.2%) | loss: 3.322295 | lrm: 1.00 | dt: 264ms | tok/sec: 993,730 | mfu: 45.5% | epoch: 1 | remaining: 224s    
step 00300 (25.3%) | loss: 3.313646 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,906 | mfu: 46.0% | epoch: 1 | remaining: 224s    
step 00301 (25.4%) | loss: 3.309371 | lrm: 1.00 | dt: 263ms | tok/sec: 997,084 | mfu: 45.6% | epoch: 1 | remaining: 224s    
step 00302 (25.5%) | loss: 3.309501 | lrm: 1.00 | dt: 262ms | tok/sec: 998,733 | mfu: 45.7% | epoch: 1 | remaining: 223s    
step 00303 (25.6%) | loss: 3.309875 | lrm: 1.00 | dt: 263ms | tok/sec: 997,681 | mfu: 45.7% | epoch: 1 | remaining: 223s    
step 00304 (25.6%) | loss: 3.311049 | lrm: 1.00 | dt: 263ms | tok/sec: 995,469 | mfu: 45.6% | epoch: 1 | remaining: 223s    
step 00305 (25.7%) | loss: 3.310124 | lrm: 1.00 | dt: 263ms | tok/sec: 998,504 | mfu: 45.7% | epoch: 1 | remaining: 223s    
step 00306 (25.8%) | loss: 3.307518 | lrm: 1.00 | dt: 264ms | tok/sec: 991,370 | mfu: 45.4% | epoch: 1 | remaining: 222s    
step 00307 (25.9%) | loss: 3.307141 | lrm: 1.00 | dt: 264ms | tok/sec: 991,825 | mfu: 45.4% | epoch: 1 | remaining: 222s    
step 00308 (26.0%) | loss: 3.311462 | lrm: 1.00 | dt: 266ms | tok/sec: 984,116 | mfu: 45.1% | epoch: 1 | remaining: 222s    
step 00309 (26.1%) | loss: 3.311877 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,146 | mfu: 45.8% | epoch: 1 | remaining: 221s    
step 00310 (26.2%) | loss: 3.312448 | lrm: 1.00 | dt: 265ms | tok/sec: 987,546 | mfu: 45.2% | epoch: 1 | remaining: 221s    
step 00311 (26.3%) | loss: 3.308855 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,754 | mfu: 45.9% | epoch: 1 | remaining: 221s    
